transaction_id,datetime,hour,day_of_week,city,upi_app,category,amount,new_device,multiple_failed_attempts,location_mismatch,odd_hour_txn,is_fraud,fraud_type,risk_score,transaction_status
TXN000034,2024-04-08 15:00:00,15,Monday,Mumbai,Paytm,Food & Dining,6507,0,0,0,0,0,None,2,Successful
TXN000035,2024-12-15 22:00:00,22,Sunday,Bangalore,GPay,Shopping,816,0,0,0,1,0,None,10,Successful
TXN000036,2024-07-26 04:00:00,4,Friday,Hyderabad,PhonePe,Travel,12505,0,0,0,1,1,Account Takeover,10,Fraudulent
TXN000037,2024-01-26 13:00:00,13,Friday,Chennai,Paytm,Investment,3034,0,1,1,0,1,Unauthorized Transfer,28,Fraudulent
TXN000038,2024-11-11 09:00:00,9,Monday,Hyderabad,GPay,Travel,7783,0,0,0,0,0,None,2,Successful
TXN000039,2024-12-27 10:00:00,10,Friday,Delhi,GPay,Shopping,10568,0,0,0,0,0,None,2,Successful
TXN000040,2024-08-09 12:00:00,12,Friday,Chennai,PhonePe,Investment,66171,0,0,0,0,1,Unauthorized Transfer,12,Fraudulent
TXN000041,2024-06-18 20:00:00,20,Tuesday,Mumbai,PhonePe,Travel,9603,1,0,0,0,0,None,12,Successful
TXN000042,2024-02-26 09:00:00,9,Monday,Hyderabad,Paytm,Shopping,8659,0,0,0,0,0,None,2,Successful
TXN000043,2024-03-16 16:00:00,16,Saturday,Delhi,BHIM,Bill Payment,5024,1,0,0,0,1,Unauthorized Transfer,12,Fraudulent
TXN000044,2024-04-07 22:00:00,22,Sunday,Bangalore,PhonePe,Food & Dining,6913,0,0,0,1,1,Phishing,10,Fraudulent
TXN000045,2024-01-19 08:00:00,8,Friday,Hyderabad,GPay,Shopping,97050,1,1,0,0,0,None,37,Successful
TXN000046,2024-12-02 07:00:00,7,Monday,Pune,Amazon Pay,Money Transfer,10838,0,0,0,0,0,None,2,Successful
TXN000047,2024-05-10 07:00:00,7,Friday,Ahmedabad,GPay,Recharge,11301,0,0,0,0,0,None,2,Successful
TXN000048,2024-06-28 13:00:00,13,Friday,Bangalore,GPay,Shopping,9857,0,0,0,0,0,None,2,Successful
TXN000049,2024-05-15 18:00:00,18,Wednesday,Delhi,BHIM,Shopping,767,0,0,1,0,0,None,13,Successful
TXN000050,2024-11-07 12:00:00,12,Thursday,Delhi,Paytm,Travel,6490,0,1,0,0,0,None,17,Successful
TXN000051,2024-11-18 18:00:00,18,Monday,Ahmedabad,PhonePe,Bill Payment,7002,0,0,0,0,0,None,2,Successful
TXN000052,2024-11-29 15:00:00,15,Friday,Hyderabad,PhonePe,Bill Payment,4226,0,0,1,0,1,Fake UPI ID,13,Blocked
TXN000053,2024-04-19 14:00:00,14,Friday,Hyderabad,BHIM,Bill Payment,13692,0,0,0,0,0,None,2,Successful
TXN000054,2024-06-21 15:00:00,15,Friday,Hyderabad,GPay,Money Transfer,187558,0,0,0,0,0,None,12,Successful
TXN000055,2024-02-28 18:00:00,18,Wednesday,Pune,Paytm,Recharge,13766,0,0,0,0,1,Account Takeover,2,Blocked
TXN000056,2024-09-18 06:00:00,6,Wednesday,Mumbai,Paytm,Recharge,11254,0,0,0,0,0,None,2,Successful
TXN000057,2024-10-12 00:00:00,0,Saturday,Pune,GPay,Food & Dining,91096,0,0,0,1,0,None,20,Successful
TXN000058,2024-10-13 17:00:00,17,Sunday,Bangalore,PhonePe,Food & Dining,14979,0,1,0,0,1,Account Takeover,17,Fraudulent
TXN000059,2024-05-16 01:00:00,1,Thursday,Pune,PhonePe,Food & Dining,128041,1,0,0,1,0,None,30,Successful
TXN000060,2024-12-30 15:00:00,15,Monday,Pune,Paytm,Money Transfer,2767,0,0,0,0,0,None,2,Successful
TXN000061,2024-01-11 05:00:00,5,Thursday,Delhi,GPay,Money Transfer,12894,0,0,0,1,0,None,10,Successful
TXN000062,2024-08-02 09:00:00,9,Friday,Bangalore,BHIM,Bill Payment,12131,0,0,0,0,0,None,2,Successful
TXN000063,2024-03-01 20:00:00,20,Friday,Delhi,Paytm,Food & Dining,8474,0,1,0,0,1,SIM Swap,17,Fraudulent
TXN000064,2024-12-02 12:00:00,12,Monday,Ahmedabad,GPay,Shopping,2828,1,0,0,0,0,None,12,Successful
TXN000065,2024-01-26 21:00:00,21,Friday,Bangalore,Paytm,Food & Dining,3833,0,0,0,0,0,None,2,Successful
TXN000066,2024-12-12 16:00:00,16,Thursday,Pune,PhonePe,Recharge,14659,0,0,0,0,0,None,2,Successful
TXN000067,2024-01-27 18:00:00,18,Saturday,Hyderabad,PhonePe,Food & Dining,1985,0,0,0,0,0,None,2,Successful
TXN000068,2024-06-11 22:00:00,22,Tuesday,Bangalore,GPay,Bill Payment,5740,0,0,0,1,0,None,10,Successful
TXN000069,2024-09-19 03:00:00,3,Thursday,Delhi,PhonePe,Food & Dining,461,1,0,0,1,1,Fake UPI ID,20,Fraudulent
TXN000070,2024-07-24 04:00:00,4,Wednesday,Mumbai,Paytm,Food & Dining,7417,0,1,0,1,1,Unauthorized Transfer,25,Fraudulent
TXN000071,2024-07-21 04:00:00,4,Sunday,Chennai,PhonePe,Money Transfer,13650,0,0,0,1,0,None,10,Successful
TXN000072,2024-08-25 12:00:00,12,Sunday,Bangalore,PhonePe,Travel,140,1,0,0,0,0,None,12,Successful
TXN000073,2024-09-19 22:00:00,22,Thursday,Hyderabad,PhonePe,Shopping,9886,1,1,0,1,0,None,35,Successful
TXN000074,2024-06-24 03:00:00,3,Monday,Pune,PhonePe,Shopping,11475,1,0,0,1,0,None,20,Successful
TXN000075,2024-06-17 08:00:00,8,Monday,Mumbai,Paytm,Recharge,5896,0,0,0,0,0,None,2,Successful
TXN000076,2024-10-06 02:00:00,2,Sunday,Ahmedabad,BHIM,Entertainment,10897,0,0,0,1,0,None,10,Successful
TXN000077,2024-01-18 03:00:00,3,Thursday,Mumbai,GPay,Food & Dining,2500,0,0,0,1,0,None,10,Successful
TXN000078,2024-05-06 09:00:00,9,Monday,Delhi,PhonePe,Shopping,115800,1,0,0,0,0,None,22,Successful
TXN000079,2024-01-09 20:00:00,20,Tuesday,Chennai,PhonePe,Shopping,1703,0,0,0,0,0,None,2,Successful
TXN000080,2024-10-21 07:00:00,7,Monday,Bangalore,GPay,Shopping,12822,0,0,0,0,0,None,2,Successful
TXN000081,2024-10-10 01:00:00,1,Thursday,Chennai,PhonePe,Entertainment,10202,0,0,0,1,0,None,10,Successful
TXN000082,2024-03-31 17:00:00,17,Sunday,Chennai,Paytm,Food & Dining,9070,0,0,0,0,0,None,2,Successful
TXN000083,2024-04-04 03:00:00,3,Thursday,Mumbai,GPay,Shopping,9364,1,0,0,1,0,None,20,Successful
TXN000084,2024-10-28 15:00:00,15,Monday,Pune,GPay,Recharge,1681,0,0,0,0,0,None,2,Successful
TXN000085,2024-07-02 12:00:00,12,Tuesday,Mumbai,GPay,Entertainment,14951,0,0,0,0,0,None,2,Successful
TXN000086,2024-10-12 01:00:00,1,Saturday,Bangalore,GPay,Bill Payment,6292,0,0,0,1,0,None,10,Successful
TXN000087,2024-02-05 00:00:00,0,Monday,Delhi,Paytm,Investment,14395,1,0,0,1,1,SIM Swap,20,Fraudulent
TXN000088,2024-11-09 03:00:00,3,Saturday,Hyderabad,Paytm,Money Transfer,12245,1,0,0,1,0,None,20,Successful
TXN000089,2024-07-29 20:00:00,20,Monday,Pune,PhonePe,Investment,2906,0,0,0,0,0,None,2,Successful
TXN000090,2024-03-29 17:00:00,17,Friday,Ahmedabad,PhonePe,Money Transfer,7449,0,1,0,0,0,None,17,Successful
TXN000091,2024-04-20 16:00:00,16,Saturday,Bangalore,GPay,Food & Dining,12496,0,0,0,0,0,None,2,Successful
TXN000092,2024-10-29 18:00:00,18,Tuesday,Hyderabad,PhonePe,Entertainment,6624,0,0,0,0,0,None,2,Successful
TXN000093,2024-04-19 07:00:00,7,Friday,Ahmedabad,PhonePe,Bill Payment,5802,0,0,1,0,0,None,13,Successful
TXN000094,2024-03-13 00:00:00,0,Wednesday,Ahmedabad,BHIM,Travel,7325,1,0,0,1,1,Phishing,20,Blocked
TXN000095,2024-03-10 01:00:00,1,Sunday,Hyderabad,BHIM,Shopping,13927,0,0,0,1,0,None,10,Successful
TXN000096,2024-06-07 14:00:00,14,Friday,Kolkata,PhonePe,Shopping,11219,0,0,0,0,0,None,2,Successful
TXN000097,2024-07-11 10:00:00,10,Thursday,Bangalore,PhonePe,Money Transfer,2302,0,0,0,0,0,None,2,Successful
TXN000098,2024-06-02 03:00:00,3,Sunday,Mumbai,GPay,Money Transfer,8354,0,0,1,1,1,Unauthorized Transfer,22,Blocked
TXN000099,2024-05-20 01:00:00,1,Monday,Chennai,GPay,Recharge,5848,0,0,0,1,0,None,10,Successful
TXN000100,2024-11-04 12:00:00,12,Monday,Chennai,GPay,Food & Dining,12317,0,0,0,0,0,None,2,Successful
TXN000101,2024-06-28 09:00:00,9,Friday,Bangalore,PhonePe,Shopping,11992,0,0,0,0,1,Account Takeover,2,Fraudulent
TXN000102,2024-06-03 20:00:00,20,Monday,Chennai,GPay,Shopping,13203,1,0,0,0,0,None,12,Successful
TXN000103,2024-12-26 14:00:00,14,Thursday,Hyderabad,PhonePe,Shopping,2876,1,1,0,0,0,None,27,Successful
TXN000104,2024-05-05 11:00:00,11,Sunday,Kolkata,GPay,Recharge,2620,0,0,0,0,0,None,2,Successful
TXN000105,2024-10-24 06:00:00,6,Thursday,Bangalore,PhonePe,Investment,8112,0,0,0,0,0,None,2,Successful
TXN000106,2024-04-24 14:00:00,14,Wednesday,Delhi,Paytm,Money Transfer,5046,1,1,1,0,1,Unauthorized Transfer,39,Fraudulent
TXN000107,2024-07-27 11:00:00,11,Saturday,Mumbai,Paytm,Investment,56234,0,0,0,0,0,None,12,Successful
TXN000108,2024-07-28 11:00:00,11,Sunday,Pune,GPay,Recharge,6408,0,1,0,0,0,None,17,Successful
TXN000109,2024-05-23 02:00:00,2,Thursday,Hyderabad,GPay,Bill Payment,13813,1,1,0,1,1,Phishing,35,Fraudulent
TXN000110,2024-02-08 16:00:00,16,Thursday,Pune,Paytm,Shopping,8634,0,0,0,0,0,None,2,Successful
TXN000111,2024-10-09 14:00:00,14,Wednesday,Pune,GPay,Entertainment,11538,0,0,0,0,0,None,2,Successful
TXN000112,2024-06-20 21:00:00,21,Thursday,Pune,PhonePe,Recharge,9282,0,1,0,0,0,None,17,Successful
TXN000113,2024-11-22 23:00:00,23,Friday,Mumbai,PhonePe,Travel,160964,0,0,0,1,0,None,20,Successful
TXN000114,2024-09-21 10:00:00,10,Saturday,Delhi,PhonePe,Food & Dining,8760,0,0,0,0,0,None,2,Successful
TXN000115,2024-11-17 20:00:00,20,Sunday,Hyderabad,PhonePe,Entertainment,4250,0,0,0,0,0,None,2,Successful
TXN000116,2024-10-08 10:00:00,10,Tuesday,Bangalore,Paytm,Investment,11102,0,0,0,0,0,None,2,Successful
TXN000117,2024-07-31 15:00:00,15,Wednesday,Ahmedabad,PhonePe,Entertainment,841,0,0,0,0,0,None,2,Successful
TXN000118,2024-04-26 00:00:00,0,Friday,Kolkata,PhonePe,Money Transfer,5613,1,1,0,1,0,None,35,Successful
TXN000119,2024-08-11 16:00:00,16,Sunday,Mumbai,GPay,Food & Dining,140864,0,0,1,0,0,None,24,Successful
TXN000120,2024-04-15 03:00:00,3,Monday,Ahmedabad,GPay,Shopping,150552,0,0,0,1,1,SIM Swap,20,Blocked
TXN000121,2024-10-02 17:00:00,17,Wednesday,Mumbai,GPay,Food & Dining,1764,0,1,0,0,1,Phishing,17,Blocked
TXN000122,2024-06-13 21:00:00,21,Thursday,Mumbai,GPay,Recharge,84,1,0,0,0,0,None,12,Successful
TXN000123,2024-12-15 08:00:00,8,Sunday,Hyderabad,PhonePe,Bill Payment,13334,0,0,0,0,0,None,2,Successful
TXN000124,2024-09-17 20:00:00,20,Tuesday,Mumbai,Paytm,Shopping,5775,0,0,0,0,0,None,2,Successful
TXN000125,2024-10-19 02:00:00,2,Saturday,Pune,PhonePe,Food & Dining,1833,0,0,0,1,0,None,10,Successful
TXN000126,2024-07-17 03:00:00,3,Wednesday,Hyderabad,GPay,Bill Payment,393,0,0,0,1,0,None,10,Successful
TXN000127,2024-09-08 13:00:00,13,Sunday,Mumbai,GPay,Money Transfer,12440,1,0,0,0,0,None,12,Successful
TXN000128,2024-01-01 22:00:00,22,Monday,Pune,Paytm,Bill Payment,2146,0,0,0,1,0,None,10,Successful
TXN000129,2024-09-03 15:00:00,15,Tuesday,Kolkata,PhonePe,Travel,7032,0,0,0,0,0,None,2,Successful
TXN000130,2024-03-16 18:00:00,18,Saturday,Chennai,BHIM,Food & Dining,13638,0,0,0,0,0,None,2,Successful
TXN000131,2024-10-21 22:00:00,22,Monday,Ahmedabad,GPay,Money Transfer,7072,0,0,0,1,0,None,10,Successful
TXN000132,2024-11-17 04:00:00,4,Sunday,Bangalore,PhonePe,Bill Payment,10741,0,0,0,1,0,None,10,Successful
TXN000133,2024-06-07 17:00:00,17,Friday,Hyderabad,Paytm,Money Transfer,517,0,0,0,0,0,None,2,Successful
TXN000134,2024-03-18 22:00:00,22,Monday,Ahmedabad,GPay,Bill Payment,9762,1,0,0,1,1,Phishing,20,Fraudulent
TXN000135,2024-05-19 23:00:00,23,Sunday,Mumbai,GPay,Food & Dining,9294,0,0,0,1,0,None,10,Successful
TXN000136,2024-08-20 06:00:00,6,Tuesday,Bangalore,Paytm,Food & Dining,13371,0,0,0,0,0,None,2,Successful
TXN000137,2024-06-10 09:00:00,9,Monday,Hyderabad,Paytm,Travel,2477,1,0,1,0,1,Fake UPI ID,24,Blocked
TXN000138,2024-08-25 20:00:00,20,Sunday,Pune,PhonePe,Shopping,13570,0,1,0,0,0,None,17,Successful
TXN000139,2024-09-22 17:00:00,17,Sunday,Delhi,GPay,Money Transfer,14973,0,0,1,0,1,Unauthorized Transfer,13,Fraudulent
TXN000140,2024-02-21 00:00:00,0,Wednesday,Pune,Paytm,Investment,10191,0,0,0,1,0,None,10,Successful
TXN000141,2024-01-15 15:00:00,15,Monday,Chennai,GPay,Food & Dining,3554,0,0,0,0,0,None,2,Successful
TXN000142,2024-07-20 23:00:00,23,Saturday,Delhi,GPay,Shopping,9739,0,0,0,1,0,None,10,Successful
TXN000143,2024-07-01 22:00:00,22,Monday,Bangalore,PhonePe,Bill Payment,2650,0,0,0,1,0,None,10,Successful
TXN000144,2024-08-23 01:00:00,1,Friday,Mumbai,GPay,Shopping,3948,0,0,0,1,0,None,10,Successful
TXN000145,2024-08-29 22:00:00,22,Thursday,Pune,BHIM,Food & Dining,6676,1,0,0,1,1,SIM Swap,20,Fraudulent
TXN000146,2024-11-09 16:00:00,16,Saturday,Bangalore,PhonePe,Recharge,2624,0,0,0,0,0,None,2,Successful
TXN000147,2024-06-30 08:00:00,8,Sunday,Ahmedabad,Paytm,Food & Dining,12629,1,0,0,0,0,None,12,Successful
TXN000148,2024-06-29 15:00:00,15,Saturday,Chennai,GPay,Shopping,10602,0,1,0,0,0,None,17,Successful
TXN000149,2024-01-24 02:00:00,2,Wednesday,Hyderabad,Amazon Pay,Entertainment,8796,0,0,0,1,0,None,10,Successful
TXN000150,2024-07-30 03:00:00,3,Tuesday,Bangalore,BHIM,Bill Payment,14457,0,0,0,1,0,None,10,Successful
TXN000151,2024-04-03 08:00:00,8,Wednesday,Bangalore,Amazon Pay,Money Transfer,12448,0,0,1,0,0,None,13,Successful
TXN000152,2024-04-22 12:00:00,12,Monday,Chennai,BHIM,Bill Payment,13167,0,0,0,0,0,None,2,Successful
TXN000153,2024-12-02 17:00:00,17,Monday,Chennai,Amazon Pay,Food & Dining,9016,0,0,0,0,0,None,2,Successful
TXN000154,2024-02-18 18:00:00,18,Sunday,Bangalore,PhonePe,Money Transfer,11870,0,0,0,0,0,None,2,Successful
TXN000155,2024-03-08 08:00:00,8,Friday,Kolkata,PhonePe,Money Transfer,4759,0,0,0,0,0,None,2,Successful
TXN000156,2024-02-21 16:00:00,16,Wednesday,Chennai,GPay,Recharge,11082,0,0,1,0,0,None,13,Successful
TXN000157,2024-07-11 09:00:00,9,Thursday,Delhi,Paytm,Shopping,13722,0,1,0,0,0,None,17,Successful
TXN000158,2024-11-30 12:00:00,12,Saturday,Delhi,GPay,Bill Payment,139474,1,0,0,0,1,SIM Swap,22,Fraudulent
TXN000159,2024-11-13 02:00:00,2,Wednesday,Delhi,PhonePe,Money Transfer,11072,0,1,0,1,0,None,25,Successful
TXN000160,2024-12-07 09:00:00,9,Saturday,Mumbai,GPay,Shopping,6925,1,0,0,0,0,None,12,Successful
TXN000161,2024-02-08 19:00:00,19,Thursday,Hyderabad,GPay,Bill Payment,3051,0,0,0,0,0,None,2,Successful
TXN000162,2024-07-10 11:00:00,11,Wednesday,Delhi,Paytm,Food & Dining,3613,0,0,1,0,0,None,13,Successful
TXN000163,2024-08-22 05:00:00,5,Thursday,Hyderabad,PhonePe,Shopping,55322,1,0,0,1,0,None,30,Successful
TXN000164,2024-09-16 02:00:00,2,Monday,Ahmedabad,Paytm,Investment,777,0,0,0,1,0,None,10,Successful
TXN000165,2024-10-12 01:00:00,1,Saturday,Mumbai,PhonePe,Shopping,130250,0,0,0,1,0,None,20,Successful
TXN000166,2024-08-12 10:00:00,10,Monday,Kolkata,BHIM,Shopping,14010,1,0,0,0,0,None,12,Successful
TXN000167,2024-12-16 02:00:00,2,Monday,Pune,PhonePe,Bill Payment,750,0,0,0,1,0,None,10,Successful
TXN000168,2024-01-01 01:00:00,1,Monday,Mumbai,Paytm,Bill Payment,5381,0,0,0,1,0,None,10,Successful
TXN000169,2024-11-21 06:00:00,6,Thursday,Hyderabad,PhonePe,Entertainment,1259,0,0,0,0,0,None,2,Successful
TXN000170,2024-08-09 22:00:00,22,Friday,Pune,PhonePe,Shopping,10113,0,0,0,1,0,None,10,Successful
TXN000171,2024-03-25 09:00:00,9,Monday,Pune,BHIM,Recharge,8926,1,0,1,0,1,Account Takeover,24,Fraudulent
TXN000172,2024-12-23 15:00:00,15,Monday,Hyderabad,PhonePe,Investment,9948,0,1,0,0,1,Fake UPI ID,17,Blocked
TXN000173,2024-06-29 18:00:00,18,Saturday,Ahmedabad,PhonePe,Recharge,2745,0,0,1,0,0,None,13,Successful
TXN000174,2024-07-20 00:00:00,0,Saturday,Kolkata,PhonePe,Entertainment,12560,0,0,0,1,0,None,10,Successful
TXN000175,2024-03-07 01:00:00,1,Thursday,Bangalore,Amazon Pay,Travel,2228,0,0,1,1,0,None,22,Successful
TXN000176,2024-02-04 23:00:00,23,Sunday,Kolkata,Paytm,Entertainment,8437,0,0,0,1,1,Phishing,10,Fraudulent
TXN000177,2024-05-25 01:00:00,1,Saturday,Delhi,GPay,Money Transfer,4984,0,0,0,1,0,None,10,Successful
TXN000178,2024-07-28 04:00:00,4,Sunday,Mumbai,GPay,Money Transfer,66781,1,0,0,1,0,None,30,Successful
TXN000179,2024-04-29 17:00:00,17,Monday,Ahmedabad,Paytm,Shopping,153447,1,1,0,0,0,None,37,Successful
TXN000180,2024-06-20 03:00:00,3,Thursday,Chennai,Amazon Pay,Investment,12971,0,0,0,1,0,None,10,Successful
TXN000181,2024-02-19 00:00:00,0,Monday,Hyderabad,GPay,Entertainment,12477,0,0,0,1,0,None,10,Successful
TXN000182,2024-01-10 09:00:00,9,Wednesday,Delhi,GPay,Food & Dining,3255,0,0,0,0,0,None,2,Successful
TXN000183,2024-04-14 18:00:00,18,Sunday,Pune,Paytm,Entertainment,12229,0,0,0,0,0,None,2,Successful
TXN000184,2024-01-05 19:00:00,19,Friday,Chennai,Paytm,Food & Dining,5988,0,0,0,0,0,None,2,Successful
TXN000185,2024-06-02 11:00:00,11,Sunday,Pune,PhonePe,Entertainment,1769,0,0,0,0,0,None,2,Successful
TXN000186,2024-11-10 01:00:00,1,Sunday,Mumbai,GPay,Travel,7155,1,0,0,1,0,None,20,Successful
TXN000187,2024-06-17 22:00:00,22,Monday,Mumbai,GPay,Bill Payment,14869,0,0,0,1,0,None,10,Successful
TXN000188,2024-10-24 16:00:00,16,Thursday,Delhi,PhonePe,Money Transfer,86334,0,0,1,0,0,None,24,Successful
TXN000189,2024-06-14 11:00:00,11,Friday,Chennai,GPay,Bill Payment,13063,0,1,0,0,0,None,17,Successful
TXN000190,2024-02-04 21:00:00,21,Sunday,Pune,PhonePe,Food & Dining,8119,0,0,0,0,0,None,2,Successful
TXN000191,2024-11-05 02:00:00,2,Tuesday,Pune,GPay,Shopping,4789,0,0,0,1,0,None,10,Successful
TXN000192,2024-05-01 21:00:00,21,Wednesday,Delhi,Amazon Pay,Bill Payment,8321,0,0,0,0,0,None,2,Successful
TXN000193,2024-04-19 15:00:00,15,Friday,Delhi,Amazon Pay,Recharge,4119,0,0,0,0,0,None,2,Successful
TXN000194,2024-01-17 22:00:00,22,Wednesday,Chennai,BHIM,Recharge,11785,1,0,0,1,0,None,20,Successful
TXN000195,2024-02-15 23:00:00,23,Thursday,Kolkata,GPay,Shopping,2699,0,0,0,1,0,None,10,Successful
TXN000196,2024-03-07 22:00:00,22,Thursday,Delhi,PhonePe,Bill Payment,10517,0,0,0,1,0,None,10,Successful
TXN000197,2024-10-29 18:00:00,18,Tuesday,Pune,BHIM,Food & Dining,3179,1,0,1,0,0,None,24,Successful
TXN000198,2024-11-15 11:00:00,11,Friday,Hyderabad,PhonePe,Food & Dining,9524,0,0,0,0,0,None,2,Successful
TXN000199,2024-11-12 11:00:00,11,Tuesday,Kolkata,PhonePe,Shopping,9338,0,0,0,0,0,None,2,Successful
TXN000200,2024-02-14 08:00:00,8,Wednesday,Delhi,GPay,Shopping,184171,1,0,0,0,0,None,22,Successful
TXN000201,2024-07-09 01:00:00,1,Tuesday,Mumbai,BHIM,Shopping,1912,0,0,0,1,0,None,10,Successful
TXN000202,2024-12-30 16:00:00,16,Monday,Mumbai,GPay,Recharge,11027,0,0,0,0,0,None,2,Successful
TXN000203,2024-10-25 17:00:00,17,Friday,Bangalore,PhonePe,Travel,218,0,0,0,0,0,None,2,Successful
TXN000204,2024-11-06 22:00:00,22,Wednesday,Pune,PhonePe,Shopping,9466,0,0,0,1,0,None,10,Successful
TXN000205,2024-09-06 12:00:00,12,Friday,Mumbai,GPay,Bill Payment,7509,1,0,0,0,0,None,12,Successful
TXN000206,2024-10-16 12:00:00,12,Wednesday,Delhi,PhonePe,Money Transfer,12434,0,0,0,0,0,None,2,Successful
TXN000207,2024-10-06 04:00:00,4,Sunday,Pune,PhonePe,Food & Dining,7691,0,0,0,1,0,None,10,Successful
TXN000208,2024-01-06 01:00:00,1,Saturday,Pune,Paytm,Money Transfer,110908,0,0,0,1,0,None,20,Successful
TXN000209,2024-02-02 22:00:00,22,Friday,Ahmedabad,PhonePe,Money Transfer,14049,1,0,0,1,0,None,20,Successful
TXN000210,2024-02-26 21:00:00,21,Monday,Pune,Paytm,Bill Payment,2387,0,0,0,0,0,None,2,Successful
TXN000211,2024-11-30 22:00:00,22,Saturday,Bangalore,Paytm,Entertainment,12439,0,0,0,1,0,None,10,Successful
TXN000212,2024-12-14 23:00:00,23,Saturday,Delhi,Paytm,Shopping,13692,0,0,0,1,0,None,10,Successful
TXN000213,2024-05-23 16:00:00,16,Thursday,Mumbai,GPay,Money Transfer,8847,0,0,0,0,0,None,2,Successful
